,titre,style,genre,synopsis
16,Pandora Hearts,Shônen,Action,"Le manga Pandora Hearts nous raconte l'histoire de OZ l'héritier de la famille la plus puissante parmi les nobles de ce monde. Le garçon vient d'avoir 15 ans, âge auquel les jeunes homme [...]"
17,Maid Sama!,Shôjo,Comédie,"Cette histoire est basé sur une jeune lycéenne, Misaki Ayuzawa, qui est présidente du conseil des élèves dans un lycée avec 80% de garçons. Mais elle [...]"
18,Fruits Basket,Shôjo,Romantique,"fruits basket raconte l'histoire d'une jeune fille de 16ans qui s'appelle Tohru Honda. Elle est très gentille et elle n'a plus de parents.
Elle doit alors habiter dans [...]"
19,Doubt,Shônen,Horreur,"Dans Doubt tout commence avec un jeu populaire pour portable au japon nommé Rabbit Doubt dans lequel les joueurs incarnent des lapins devant trouver le loup qui se cache parmi eux.
De son [...]"
20,GTO,Shônen,École,"Ancien voyou, chef de gang, Eikichi Onizuka décide un jour de devenir prof. Sa motivation : les jeunes étudiantes du lycée où il compte travailler ! Car tout le monde le [...]"
21,Switch girl,Shôjo,Comédie,"Switch girl est un manga humoristique nous racontant l'histoire de Nika , une jeune lycéenne qui a un secret. La jeune fille peut en effet choisir de se mettre en mode ON; ce qui la rend toujours [...]"
22,Blue spring ride,Shôjo,Romantique,"Au collège, Futaba Yoshioka,malgré sa timidité envers les garçons de son âge, se lia fortement avec le jeune Tanaka. Cette complicité se transforma en sentiment amoureux. Mais lors d'un rendez [...]"
23,D.Gray-man,Shônen,Exorciste,"Vers la fin d'un 19e siècle imaginaire et sombre, un jeune exorciste, Allen Walker, un jeune homme maudit durant son enfance par un Akuma, fait partie de la Congrégation de [...]"
24,Soul Eater,Shônen,Fantasy,"Afin d'accéder au rang suprême de « Death Scythe », une arme démoniaque doit ingérer 99 âmes humaines et une âme de sorcière. Cette [...]"
25,Akame ga Kill!,Shônen,Action,Akame ga kill est un shônen de Tomoki Kobayashi qui met en scène le personnage de Tatsumi un jeune garçon de la campagne qui a pour rêve de percer à la capitale grâce a ces compétences à [...]
26,Nana,Shôjo,Romantique,"L'histoire commence avec Nana surnommée plus tard Hachi par ses amis, jeune fille qui est une professionnel du coup de coup de foudre sort assez difficilement de sa première véritable relation [...]"
27,My Hero Academia,Shônen,Super héros,"Dans un monde où 80 % de la population possède un super-pouvoir appelé alter, les héros font partie de la vie quotidienne. Et les super-vilains aussi ! Face à eux se [...]"
28,Blood Lad,Seinen,Action,"Loups-garous, zombies et autres créatures de la nuit ont toujours inspiré la terreur aux humains. Staz est un vampire, un vrai caïd qui règne sans partage sur un des [...]"
29,Judge,Shônen,Action,"Dans le même genre que Doubt , TONOGAI Yoshiki nous revient avec Judge.


Hiro , un adolescent rongé par la mort de son frère qu'il a indirectement causée, se réveille menotté et [...]"
